Precio|Título|Ubicación|Precio por m²|Área|Habitaciones|Baños|Descripción|Última Actualización|Tipo de Propiedad|Enlace de Propiedad|Imágenes|Extras
$237,920 ($2,163/m²)|Carolina 1002: New Condo for Sale Centrally Located in the Heart of the Quito Business District - Qu|Quito, Quito|($2,163/m²)|($2,163/m²)|3|2|Esta propiedad es un apartamento de 110 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $237,920 ($2,163/m²).|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/3-habitación-apartamento-en-venta-en-carolina-1002-new-condo-for-sale-centrally-located-in-the-heart-of-the-quito-business-district-qu-en-quito-pichincha-u555998|https://cdn.fazwaz.com/wbr/VU9qd9dwhKRX9Qqyl1rQ5vXVy_0/67x67/unit/555998/3-8f5282e431527758195b04f54e40cd78.jpg, https://cdn.fazwaz.com/wbr/lx4KoUbWGim8oNslzwqYv2fEH7E/67x67/unit/555998/4-e1b031dc6b1a08aae194193fd8f30851.jpg, https://cdn.fazwaz.com/wbr/qPgiwgRQ7Eka1ggbDpfqPDA5IJ0/67x67/unit/555998/5-76194547528ec2bb9d1d8208ada53019.jpg, https://cdn.fazwaz.com/wbr/8abZ2sEQ655HIQwrVZwxng05Qk4/67x67/unit/555998/6-e2a7385b64ee03cbcf56830c7c05162f.jpg|N/A
$318,050 ($2,504/m²)|#104 KIRO Cumbayá: INVESTOR ALERT! Luxury 3BR Condo in Zone with High Appreciation|Cumbaya, Quito|($2,504/m²)|($2,504/m²)|3|2|Esta propiedad es un apartamento de 127 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $318,050 ($2,504/m²).|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/3-habitación-apartamento-en-venta-en-104-kiro-cumbaya-investor-alert-luxury-3br-condo-in-zone-with-high-appreciation-en-cumbaya-pichincha-u552388|https://cdn.fazwaz.com/wbr/Q64Gnk7al9ssIOI3cmT7_OO2MmA/67x67/unit/552388/3-9c2e7a3f142e636da754952630e8eb5e.jpg, https://cdn.fazwaz.com/wbr/Kbp7m8P7-aDaGpt3dyChBLahHjk/67x67/unit/552388/4-ca07928a0f12fd419e492f08cbd70ad0.jpg, https://cdn.fazwaz.com/wbr/LLP0APamUINu1v7XMBm4_6vXTNY/67x67/unit/552388/5-c32b06bb8c512451f8bf8a66b371a8d7.jpg, https://cdn.fazwaz.com/wbr/0m7s-SMA6bFIxC_NiMFRhppY0s4/67x67/unit/552388/6-6aabe844df393e7f1b9d5dbf5ecd0694.jpg|N/A
$302,150 ($2,571/m²)|#110 KIRO Cumbayá: INVESTOR ALERT! Luxury 3BR Condo in Zone with High Appreciation|Cumbaya, Quito|($2,571/m²)|($2,571/m²)|3|2|Esta propiedad es un apartamento de 117.50 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $302,150 ($2,571/m²).|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/3-habitación-apartamento-en-venta-en-110-kiro-cumbaya-investor-alert-luxury-3br-condo-in-zone-with-high-appreciation-en-cumbaya-pichincha-u552408|https://cdn.fazwaz.com/wbr/_ElKR2O0UuWJ2UT15_LCZG7xa6U/67x67/unit/552408/3-4bc72645bf9b4aaaa20b89284b0a49b1.jpg, https://cdn.fazwaz.com/wbr/HVGSHCsDUqz2Qo-I-Rlgh6wV9MY/67x67/unit/552408/4-ca07928a0f12fd419e492f08cbd70ad0.jpg, https://cdn.fazwaz.com/wbr/-dueEKS9ssGAqdlo5zU1qa71Ars/67x67/unit/552408/5-c32b06bb8c512451f8bf8a66b371a8d7.jpg, https://cdn.fazwaz.com/wbr/oYqbybP8k-IbzZCEszGMxapAydw/67x67/unit/552408/6-6aabe844df393e7f1b9d5dbf5ecd0694.jpg|N/A
$188,203 ($1,920/m²)|K 202: Brand New Modern Condos for Sale In a Privileged Area of Cumbayá|Cumbaya, Quito|($1,920/m²)|($1,920/m²)|2|2|Esta propiedad es un apartamento de 98 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $188,203 ($1,920/m²).|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/2-habitación-apartamento-en-venta-en-k-202-brand-new-modern-condos-for-sale-in-a-privileged-area-of-cumbaya-en-cumbaya-pichincha-u552436|https://cdn.fazwaz.com/wbr/tX5ArvebTfdc56EY6EeU1wgvI7o/67x67/unit/552436/3-42149e3e6ac1fbf1274e427945c0c371.jpg, https://cdn.fazwaz.com/wbr/eYcd5UDq39511FXJcY8BqIiZQhg/67x67/unit/552436/4-9ff543454e25a24e3431e43bc329ef58.jpg, https://cdn.fazwaz.com/wbr/jelD2VkyZMOS_Z5yEOmaGO_NVzQ/67x67/unit/552436/5-5474d05b1f14da850a23f480d5f233ae.jpg, https://cdn.fazwaz.com/wbr/-B5UeQYDSTGJ6TDeArWNjgQhDTc/67x67/unit/552436/6-40dcdf1b2bf0d70a2bcd5113b38e7e1a.jpg|N/A
$75,000 ($708/m²)|Apartment For Sale in Condado - Quito|Quito, Quito|($708/m²)|($708/m²)|3|1|Esta propiedad es un apartamento de 106 m² con 3 habitaciones y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $75,000 ($708/m²).|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/3-habitación-apartamento-en-venta-en-apartment-for-sale-in-condado-quito-en-quito-pichincha-u552576|https://cdn.fazwaz.com/wbr/-QITGJrXGHNzUOUqhGweGDvoZsk/67x67/unit/552576/3-88d76682542800a3fc77208cbeb248ad.jpg, https://cdn.fazwaz.com/wbr/VVrTmms1B24tWRHMxdhZlAvhuvc/67x67/unit/552576/4-9e9b85051e069b9be95d5b4330d78069.jpg, https://cdn.fazwaz.com/wbr/DIBdnWzNIGUy5TJ3mHUcsJ766YQ/67x67/unit/552576/5-54c756dacdbcc25a55db24c912cfd49d.jpg, https://cdn.fazwaz.com/wbr/QlyF27hOAZPZVj5dU5KUhJe_5AM/67x67/unit/552576/6-76337a0241b5ae94ebd666739a940d44.jpg|N/A
$326,350 ($2,108/m²)|#2 Anantara: Exclusive Condo for Sale in Cumbayá|Cumbaya, Quito|($2,108/m²)|($2,108/m²)|3|2|Esta propiedad es un apartamento de 154.85 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $326,350 ($2,108/m²).|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/3-habitación-apartamento-en-venta-en-2-anantara-exclusive-condo-for-sale-in-cumbaya-en-cumbaya-pichincha-u552696|https://cdn.fazwaz.com/wbr/K0FUccAXHd3rH0emdQ5kqgEB2Lg/67x67/unit/552696/3-ad9471d46000c85a9c3b782c9a1ce786.jpg, https://cdn.fazwaz.com/wbr/Rv_jPNE0dJbJZ4ZAX1U3UHwBgZU/67x67/unit/552696/4-9d9c72b7df0b28acc262e984d69dd95b.jpg, https://cdn.fazwaz.com/wbr/GYti25NgvDRtj2Gtf-01gzYSmEk/67x67/unit/552696/5-bc29751bc0d181e2d869e260481df552.jpg, https://cdn.fazwaz.com/wbr/wDwCbqppvfaiiLx9_qDWLuLAdf4/67x67/unit/552696/6-0e9cb80f51c8c905129b0b8c942af9c8.jpg|N/A
$180,331 ($1,840/m²)|K 203: Brand New Modern Condos for Sale In a Privileged Area of Cumbayá|Cumbaya, Quito|($1,840/m²)|($1,840/m²)|2|2|Esta propiedad es un apartamento de 98 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $180,331 ($1,840/m²).|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/2-habitación-apartamento-en-venta-en-k-203-brand-new-modern-condos-for-sale-in-a-privileged-area-of-cumbaya-en-cumbaya-pichincha-u552748|https://cdn.fazwaz.com/wbr/M323v6a7AAsWwCByKIz9DNmdADQ/67x67/unit/552748/3-42149e3e6ac1fbf1274e427945c0c371.jpg, https://cdn.fazwaz.com/wbr/QWCx1MH7r_5WHTXPbBKANiVBdX0/67x67/unit/552748/4-9ff543454e25a24e3431e43bc329ef58.jpg, https://cdn.fazwaz.com/wbr/svN6OYv_D86i2NgTFnFOIAqxYT0/67x67/unit/552748/5-8d14e4ef84dcf9f3c97fcd85298c74d6.jpg, https://cdn.fazwaz.com/wbr/uQWWJyn6jQeFfkYVOu3f9-OEfYo/67x67/unit/552748/6-40dcdf1b2bf0d70a2bcd5113b38e7e1a.jpg|N/A
$95,000 ($905/m²)|Carcelen - Quito|Quito, Quito|($905/m²)|($905/m²)|3|3|Esta propiedad es un apartamento de 105 m² con 3 habitaciones y 3 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $95,000 ($905/m²).|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/3-habitación-apartamento-en-venta-en-carcelen-quito-en-quito-pichincha-u552752|https://cdn.fazwaz.com/wbr/TRSdO_4HlfWY_GTUE08TmdoSinE/67x67/unit/552752/3-8e76e146073b921923b429edc811f2d0.jpg, https://cdn.fazwaz.com/wbr/1IKkXkWKpjqJqCIioMa5eWaAKAg/67x67/unit/552752/4-15a21f612bc93f2d6ed78c2fa86c3ca3.jpg, https://cdn.fazwaz.com/wbr/2DFUL3vQf6xsmIwrpil8-yYUSSE/67x67/unit/552752/5-dcb4ff71891c7c3538bf058cd5ae38ed.jpg, https://cdn.fazwaz.com/wbr/5IfMsStGSQkUjj9mMrmIeEa4f6I/67x67/unit/552752/6-b5b944d6afa40b2b130cbbacf2e383c4.jpg|N/A
$321,278 ($1,947/m²)|201: Brand-new Condo with One of the Best Views of Quito's Historic Center|Quito, Quito|($1,947/m²)|($1,947/m²)|2|2|Esta propiedad es un apartamento de 165 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $321,278 ($1,947/m²).|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/2-habitación-apartamento-en-venta-en-201-brand-new-condo-with-one-of-the-best-views-of-quitos-historic-center-en-quito-pichincha-u551498|https://cdn.fazwaz.com/wbr/Ye4nSA1bkqWvCQEZ9u2Nd199ftE/67x67/unit/551498/3-f438990fc5966d550b9932c4afe9832d.jpg, https://cdn.fazwaz.com/wbr/3cFkTp5RIxwYw9DX9V2uHyJY1eM/67x67/unit/551498/4-a350b0e684e33292c83e276d13b7545c.jpg, https://cdn.fazwaz.com/wbr/YVE85WMQsSQiUXR_-eedHr2zyYA/67x67/unit/551498/5-12ff8de5c4c17cc8268899ab61ab2a75.jpg, https://cdn.fazwaz.com/wbr/W4PMf3-cpkk_LlbEAJoyiDh7Ij0/67x67/unit/551498/6-8061684310b90313e4fe3f42c65723f6.jpg|N/A
$228,000 ($1,140/m²)|Zona Norte|Quito, Quito|($1,140/m²)|($1,140/m²)|4|4|Esta propiedad es un apartamento de 200 m² con 4 habitaciones y 4 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $228,000 ($1,140/m²).|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/4-habitación-apartamento-en-venta-en-zona-norte-en-quito-pichincha-u551778|https://cdn.fazwaz.com/wbr/OguQ0SVV6S7Ks7m74qwtPFzxcNE/67x67/unit/551778/3-667a6c2f02b3f5f33e2942fabf3ae2cc.jpg, https://cdn.fazwaz.com/wbr/RxdTm5ADc16BubOixnp6nP6txbI/67x67/unit/551778/4-fc1a22bda345dd53b2b61a6337c399c2.jpg, https://cdn.fazwaz.com/wbr/VTL8LMjSvCEco_oZ5bwYQ2VznRk/67x67/unit/551778/5-f4e2fcda88f111c9ef99b51360318302.jpg, https://cdn.fazwaz.com/wbr/VwhDbkHTNdWUIOrMlbXW6FpK3S4/67x67/unit/551778/6-02d3f8936a1f1246e3a73e4dc0e3eebe.jpg|N/A
