Precio|Título|Ubicación|Precio por m²|Área|Habitaciones|Baños|Descripción Características|Descripción Título|Última Actualización|Tipo de Propiedad|Enlace de Propiedad|Extras
144751|1 Habitación Apartamento en venta en 003: Brand-new Condo with One of the Best Views of Quito's Historic Center|Quito, Quito|1723|84|1|1|Esta propiedad es un apartamento de 84 m² con 1 habitación y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $144,751 ($1,723/m²).|1 Habitación Apartamento en venta en 003: Brand-new Condo with One of the Best Views of Quito's Historic Center|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/1-habitación-apartamento-en-venta-en-003-brand-new-condo-with-one-of-the-best-views-of-quitos-historic-center-en-quito-pichincha-u552208|N/A
285700|2 Habitación Apartamento en venta en #1 Anantara: Exclusive Condo for Sale in Cumbayá|Cumbaya, Quito|2125|134.46|2|2|Esta propiedad es un apartamento de 134.46 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $285,700 ($2,125/m²).|2 Habitación Apartamento en venta en #1 Anantara: Exclusive Condo for Sale in Cumbayá|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/2-habitación-apartamento-en-venta-en-1-anantara-exclusive-condo-for-sale-in-cumbaya-en-cumbaya-pichincha-u552222|N/A
136400|1 Habitación Apartamento en venta en #9 Anantara: Exclusive Condo for Sale in Cumbayá|Cumbaya, Quito|1908|71.50|1|1|Esta propiedad es un apartamento de 71.50 m² con 1 habitación y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $136,400 ($1,908/m²).|1 Habitación Apartamento en venta en #9 Anantara: Exclusive Condo for Sale in Cumbayá|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/1-habitación-apartamento-en-venta-en-9-anantara-exclusive-condo-for-sale-in-cumbaya-en-cumbaya-pichincha-u552308|N/A
204283|2 Habitación Apartamento en venta en K 102: Brand New Modern Condos for Sale In a Privileged Area of Cumbayá|Cumbaya, Quito|2085|98|2|2|Esta propiedad es un apartamento de 98 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $204,283 ($2,085/m²).|2 Habitación Apartamento en venta en K 102: Brand New Modern Condos for Sale In a Privileged Area of Cumbayá|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/2-habitación-apartamento-en-venta-en-k-102-brand-new-modern-condos-for-sale-in-a-privileged-area-of-cumbaya-en-cumbaya-pichincha-u552312|N/A
323125|3 Habitación Apartamento en venta en #213 KIRO Cumbayá: INVESTOR ALERT! Luxury 3BR Condo in Zone with High Appreciation|Cumbaya, Quito|2411|134|3|2|Esta propiedad es un apartamento de 134 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $323,125 ($2,411/m²).|3 Habitación Apartamento en venta en #213 KIRO Cumbayá: INVESTOR ALERT! Luxury 3BR Condo in Zone with High Appreciation|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/3-habitación-apartamento-en-venta-en-213-kiro-cumbaya-investor-alert-luxury-3br-condo-in-zone-with-high-appreciation-en-cumbaya-pichincha-u552086|N/A
158197|3 Habitación Apartamento en venta en G 707 TORRE CANTABRIA: New Condo For Sale with Views of Quito in Great Location|Quito, Quito|1634|96.83|3|2|Esta propiedad es un apartamento de 96.83 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $158,197 ($1,634/m²).|3 Habitación Apartamento en venta en G 707 TORRE CANTABRIA: New Condo For Sale with Views of Quito in Great Location|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/3-habitación-apartamento-en-venta-en-g-707-torre-cantabria-new-condo-for-sale-with-views-of-quito-in-great-location-en-quito-pichincha-u552136|N/A
136400|1 Habitación Apartamento en venta en #12 Anantara: Exclusive Condo for Sale in Cumbayá|Cumbaya, Quito|1908|71.50|1|1|Esta propiedad es un apartamento de 71.50 m² con 1 habitación y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $136,400 ($1,908/m²).|1 Habitación Apartamento en venta en #12 Anantara: Exclusive Condo for Sale in Cumbayá|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/1-habitación-apartamento-en-venta-en-12-anantara-exclusive-condo-for-sale-in-cumbaya-en-cumbaya-pichincha-u552162|N/A
174402|3 Habitación Apartamento en venta en E 1005 TORRE CANTABRIA: New Condo For Sale with Views of Quito in Great Location|Quito, Quito|1713|101.82|3|2|Esta propiedad es un apartamento de 101.82 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $174,402 ($1,713/m²).|3 Habitación Apartamento en venta en E 1005 TORRE CANTABRIA: New Condo For Sale with Views of Quito in Great Location|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/3-habitación-apartamento-en-venta-en-e-1005-torre-cantabria-new-condo-for-sale-with-views-of-quito-in-great-location-en-quito-pichincha-u552026|N/A
243572|3 Habitación Apartamento en venta en K 101: Brand New Modern Condos for Sale In a Privileged Area of Cumbayá|Cumbaya, Quito|1888|129|3|2|Esta propiedad es un apartamento de 129 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $243,572 ($1,888/m²).|3 Habitación Apartamento en venta en K 101: Brand New Modern Condos for Sale In a Privileged Area of Cumbayá|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/3-habitación-apartamento-en-venta-en-k-101-brand-new-modern-condos-for-sale-in-a-privileged-area-of-cumbaya-en-cumbaya-pichincha-u552244|N/A
169922|3 Habitación Apartamento en venta en E 805 TORRE CANTABRIA: New Condo For Sale with Views of Quito in Great Location|Quito, Quito|1669|101.82|3|2|Esta propiedad es un apartamento de 101.82 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $169,922 ($1,669/m²).|3 Habitación Apartamento en venta en E 805 TORRE CANTABRIA: New Condo For Sale with Views of Quito in Great Location|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/3-habitación-apartamento-en-venta-en-e-805-torre-cantabria-new-condo-for-sale-with-views-of-quito-in-great-location-en-quito-pichincha-u552262|N/A
