Precio|Área (m²)|Ubicación|Habitaciones|Baños|Nombre de la agencia|Título de la propiedad|Instalaciones
211980|112|Distrito Metropolitano de Quito|3|3|SU CASA SOBRE LA ROCA|901 Quicentro Shopping: La Mejor Ubicación! Departamento 3 Dormitorios 112 M Con Balcón 3,50 M A Estrenar|N/A
93945|104|Distrito Metropolitano de Quito|3|2|Sonia Herrera|Venta De Departamento En Nuevo Conjunto Residencial, En La Magdalena|Estacionamiento, Internet, Balcón, Cocina integral, Jacuzzi, Vista panorámica, Armario empotrado, Agua, Electricidad, Terraza, Seguridad, Gimnasio, Área para niños, Ascensor, Sauna, Jardín, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
98000|95|Distrito Metropolitano de Quito|3|3|FREDDY CABRERA - BIENES RAÍCES|Hermoso Departamento En Quito (av. De Los Granados) Frente A La Udla|Estacionamiento, Patio, Armario empotrado, Agua, Electricidad, Parcialmente amoblado, Terraza, Seguridad, Gimnasio, Área para niños, Ascensor, Jardín, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
220920|105|Distrito Metropolitano de Quito|2|3|GS CONSTRUCCIONES Y BIENES RAÍCES|Hermoso Departamento Dos Dormitorios En Venta- Bellavista|Estacionamiento, Internet, Alarma, Armario empotrado, Gas natural, Agua, Electricidad, Sin amoblar, Seguridad, Gimnasio, Ascensor, Conserje, Garita de guardianía
135000|100|Distrito Metropolitano de Quito|3|2|GS CONSTRUCCIONES Y BIENES RAÍCES|Vendo Acogedor Departamento 3 Dormitorios - Bellavista Baja|Estacionamiento, Cocina equipada, Jacuzzi, Vista panorámica, Armario empotrado, Agua, Electricidad, Sin amoblar, Terraza, Seguridad, Gimnasio, Piscina, Área para niños, Ascensor, Sauna, Jardín, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
280000|341|Distrito Metropolitano de Quito|3|5|GS CONSTRUCCIONES Y BIENES RAÍCES|Vendo Moderno Ph 3 Dormitorios Con Terraza Cubierta - Bellavista Baja|Estacionamiento, Cocina equipada, Cocina integral, Armario empotrado, Gas natural, Chimenea, Agua, Electricidad, Completamente amoblado, Terraza, Gimnasio, Área para niños, Ascensor, Jardín, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
150000|98|Distrito Metropolitano de Quito|2|2|GS CONSTRUCCIONES Y BIENES RAÍCES|Hermoso Departamento En Venta - Sector Bellavista|Estacionamiento, Cocina equipada, Cocina integral, Cuarto de servicio, Armario empotrado, Gas natural, Agua, Electricidad, Terraza, Gimnasio, Ascensor, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
124000|144|Distrito Metropolitano de Quito|3|3|GS CONSTRUCCIONES Y BIENES RAÍCES|Departamento De Venta Sector Ponceano|Estacionamiento, Cocina integral, Vista panorámica, Armario empotrado, Gas natural, Agua, Electricidad, Sin amoblar, Terraza, Seguridad, Ascensor, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
270000|164|Distrito Metropolitano de Quito|2|3|Inmoejecutivos|Vendo Departamento Con Espectacular Vista. Gonzáles Suárez. Quito|Estacionamiento, Armario empotrado, Agua, Electricidad, Sin amoblar, Ascensor, Conserje
156000|110|Distrito Metropolitano de Quito|2|3|Emma Barragán|Venta Departamento 2 Dormitorios, Cumbayá|Estacionamiento, Internet, Balcón, Cocina integral, Jacuzzi, Vista panorámica, Patio, Alarma, Armario empotrado, Chimenea, Agua, Electricidad, Parcialmente amoblado, Terraza, Seguridad, Gimnasio, Piscina, Área para niños, Ascensor, Sauna, Jardín, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
90000|70|Distrito Metropolitano de Quito|2|2|Emma Barragán|Vendo Departamento 2 Dormitorios Sector Bosmediano Y González Suáres|Estacionamiento, Balcón, Cocina equipada, Cocina integral, Jacuzzi, Vista panorámica, Armario empotrado, Gas natural, Agua, Electricidad, Sin amoblar, Seguridad, Piscina, Área para niños, Ascensor, Jardín, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
