Título|Precio|Ubicación|Área|Habitaciones|Baños|Agencia|Fecha Publicación
Departamento en Venta en Centro Norte|USD 149.600|Centro Norte, Quito, Pichincha|N/A|2 habitaciones||Intramuros Constructora|Publicado 16/07/2024
Departamento en Venta en Cumbaya|USD 106.515|Cumbaya, Valle Tumbaco, Quito, Pichincha|N/A|1 habitación||Intramuros Constructora|Publicado 11/07/2024
Departamento en Venta en Cumbaya|USD 305.652|Cumbaya, Valle Tumbaco, Quito, Pichincha|N/A|3 habitaciones||Intramuros Constructora|Publicado 11/07/2024
Departamento en Venta en Gonzalez Suarez|USD 270.000|Gonzalez Suarez, Iñaquito, Centro Norte, Quito, Pichincha|N/A|2 habitaciones||Inmoejecutivos|Publicado 22/07/2024
Departamento en Venta en Cumbaya|USD 220.000|Cumbaya, Valle Tumbaco, Quito, Pichincha|N/A|3 habitaciones||Inmoejecutivos|Publicado 28/06/2024
Departamento en Venta en Cumbaya|USD 683.000|Cumbaya, Valle Tumbaco, Quito, Pichincha|N/A|4 habitaciones||Proyectos con Futuro|Publicado 13/03/2024
Departamento en Venta en El Batan|USD 98.000|El Batan, Iñaquito, Centro Norte, Quito, Pichincha|N/A|3 habitaciones||FREDDY CABRERA - BIENES RAÍCES|Publicado 26/06/2024
Departamento en Venta en Centro Norte|USD 110.000|Centro Norte, Quito, Pichincha|N/A|1 habitación||Intramuros Constructora|Publicado 16/07/2024
Departamento en Venta en Centro Norte|USD 300.551|Centro Norte, Quito, Pichincha|N/A|3 habitaciones||Intramuros Constructora|Publicado 16/07/2024
Departamento en Venta en Cumbaya|USD 428.502|Cumbaya, Valle Tumbaco, Quito, Pichincha|N/A|3 habitaciones||Intramuros Constructora|Publicado 16/07/2024
Departamento en Venta en Cumbaya|USD 627.486|Cumbaya, Valle Tumbaco, Quito, Pichincha|N/A|3 habitaciones||Intramuros Constructora|Publicado 16/07/2024
Departamento en Venta en Cumbaya|USD 140.056|Cumbaya, Valle Tumbaco, Quito, Pichincha|N/A|1 habitación||Intramuros Constructora|Publicado 16/07/2024
Departamento en Venta en Cumbaya|USD 130.710|Cumbaya, Valle Tumbaco, Quito, Pichincha|N/A|1 habitación||Intramuros Constructora|Publicado 16/07/2024
Departamento en Venta en Cumbaya|USD 181.342|Cumbaya, Valle Tumbaco, Quito, Pichincha|N/A|2 habitaciones||Intramuros Constructora|Publicado 11/07/2024
Departamento en Venta en Cumbaya|USD 169.279|Cumbaya, Valle Tumbaco, Quito, Pichincha|N/A|2 habitaciones||Intramuros Constructora|Publicado 11/07/2024
Departamento en Venta en Cumbaya|USD 202.578|Cumbaya, Valle Tumbaco, Quito, Pichincha|N/A|2 habitaciones||Intramuros Constructora|Publicado 16/07/2024
Departamento en Venta en Cumbaya|USD 188.075|Cumbaya, Valle Tumbaco, Quito, Pichincha|N/A|2 habitaciones||Intramuros Constructora|Publicado 11/07/2024
Departamento en Venta en El Batan|USD 118.000|El Batan, Iñaquito, Centro Norte, Quito, Pichincha|N/A|3 habitaciones||Inmoejecutivos|Publicado 19/06/2023
Departamento en Venta en Cumbaya|USD 229.000|Cumbaya, Valle Tumbaco, Quito, Pichincha|N/A|2 habitaciones||Inmoejecutivos|Publicado 09/07/2024
Departamento en Venta en Bellavista|USD 169.000|Bellavista, Iñaquito, Centro Norte, Quito, Pichincha|N/A|2 habitaciones||AB&MD Gestión Inmobiliaria By KSA|Publicado 25/04/2024
Departamento en Venta en Tumbaco|USD 115.000|Tumbaco, Valle Tumbaco, Quito, Pichincha|N/A|2 habitaciones||JAO Real Estate|Publicado 06/08/2024
Departamento en Venta en Tumbaco|USD 145.000|Tumbaco, Valle Tumbaco, Quito, Pichincha|N/A|3 habitaciones||JAO Real Estate|Publicado 06/08/2024
Departamento en Venta en Tumbaco|USD 69.000|Tumbaco, Valle Tumbaco, Quito, Pichincha|N/A|1 habitación||JAO Real Estate|Publicado 06/08/2024
Departamento en Venta en Cumbaya|USD 295.000|Cumbaya, Valle Tumbaco, Quito, Pichincha|N/A|2 habitaciones||AB&MD Gestión Inmobiliaria By KSA|Publicado 16/06/2024
Departamento en Venta en Gonzalez Suarez|USD 480.000|Gonzalez Suarez, Iñaquito, Centro Norte, Quito, Pichincha|N/A|3 habitaciones||AB&MD Gestión Inmobiliaria By KSA|Publicado 23/04/2024
Departamento en Venta en Quito Tenis|USD 480.000|Quito Tenis, Centro Norte, Quito, Pichincha|N/A|3 habitaciones||AB&MD Gestión Inmobiliaria By KSA|Publicado 22/05/2024
Departamento en Venta en El Batan|USD 100.000|El Batan, Iñaquito, Centro Norte, Quito, Pichincha|N/A|3 habitaciones||AB&MD Gestión Inmobiliaria By KSA|Publicado hace 23 horas
Departamento en Venta en Bellavista|USD 118.000|Bellavista, Iñaquito, Centro Norte, Quito, Pichincha|N/A|2 habitaciones||AB&MD Gestión Inmobiliaria By KSA|Publicado 26/04/2024
Departamento en Venta en Bellavista|USD 97.488|Bellavista, Iñaquito, Centro Norte, Quito, Pichincha|N/A|1 habitación||SU CASA SOBRE LA ROCA|Publicado 09/02/2024
Departamento en Venta en Cumbaya|USD 189.516|Cumbaya, Valle Tumbaco, Quito, Pichincha|N/A|2 habitaciones||SU CASA SOBRE LA ROCA|Publicado 25/02/2024
