Precio|Expensas|Dirección|Superficie Total (m²)|Superficie Cubierta (m²)|Ambientes|Baños|Descripción|Agente|Oficina|URL Propiedad|Whatsapp|Teléfono|Correo|Foto Agente
106.000 USD|+ 127 USD expensas|Mariano Echeverria S/N|97.69|66.98|6|1|Suite en venta en Quito Tenis|Leonor Espinoza|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/suite-en-venta-en-quito-tenis|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/437d0427-e9c4-4dbd-9cd9-9b348064acf0/180x180/agentimage923362339_28_08_2024_05_56_21_772.webp?
89.900 USD|+ 50 USD expensas|Francisco Dalmau 500|137|126|8|2|SE VENDE DEPARTAMENTO, FRANCISCO DALMAU|Janneth Gómez|RE/MAX Supremo|https://www.remax.com.ec/listings/se-vende-departamento-francisco-dalmau|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/8197f08c-1589-4563-8fa1-3e2a9f56528f/180x180/agentimage2145_23_01_2024_05_35_43.webp?
63.000 USD|N/A|General Jose Maria Guerrero-manta S/N|86.5|66.5|3|1|Departamento en Venta Conjunto La Recoleta|Johanna Campana|RE/MAX Empire|https://www.remax.com.ec/listings/departamento-en-venta-conjunto-la-recoleta-1|Sí|Sí|Sí|
101.000 USD|+ 100 USD expensas|Los Laureles S/N|150|100|4|2|Departamento de Venta, Sector Los Laureles|Johanna Campana|RE/MAX Empire|https://www.remax.com.ec/listings/departamento-de-venta-sector-los-laureles-1|Sí|Sí|Sí|
79.000 USD|+ 35 USD expensas|Carlos Mantilla 100|230.96|189.08|8|2|VENDO CASA 230M2 CON TERRAZA 3 DOR CARLOS MANTILL|Carol Lambert Zaputt|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/vendo-casa-230m2-con-terraza-3-dor-carlos-mantill|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/446cfa4a-8303-430c-bbe6-b9e064f6c8aa/180x180/agentimage703245688_28_08_2024_01_00_01_347.webp?
200 USD|N/A|Antonio Elizalde S/N|35|35|2|1|EN RENTA SUITE REMODELADA FAC. MEDICINA U. CENTRA|Marlon Rodrigo Núñez Mejía|RE/MAX Impacta|https://www.remax.com.ec/listings/en-renta-suite-remodelada-fac-medicina-u-centra|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/b3c442b3-2b2c-40c3-b672-d625fdf0e6a7/180x180/agentimage886_21_07_2023_10_53_29.webp?
200 USD|N/A|Antonio Elizalde S/N|35|35|2|1|SUITE EN RENTA, SECTOR EL DORADO|Marlon Rodrigo Núñez Mejía|RE/MAX Impacta|https://www.remax.com.ec/listings/suite-en-renta-sector-el-dorado|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/b3c442b3-2b2c-40c3-b672-d625fdf0e6a7/180x180/agentimage886_21_07_2023_10_53_29.webp?
160.000 USD|+ 125.291 USD expensas|El Zurriago 144 100|135|110|6|2|DEPARTAMENTO 110 M2, PISO 5, EDIF. MODIGLIANI II|Consuelo Katheryne Herrera Ramos|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-110-m2-piso-5-edif-modigliani-ii|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/64f34174-e3b5-49fa-8a52-183239169313/180x180/agentimage1710037480_26_07_2024_03_31_53_399.webp?
20.000 USD|N/A|Calle E10 S/N|56|56|5|2|DEPARTAMENTO SECTOR DIVINO NIÑO|Patricia Gabriela Villamarin Osorio|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-sector-divino-nino|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/66f6fa9e-676f-4a3a-842f-ac4a0da8875f/180x180/agentimage1713762407_28_08_2024_12_59_15_614.webp?
81.000 USD|+ 30 USD expensas|Ugarte y Saravia 100|136|123|6|2|VENDO DEPARTAMENTO 123M2 SECTOR BELISARIO QUEVEDO|Carol Lambert Zaputt|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/vendo-departamento-123m2-sector-belisario-quevedo|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/446cfa4a-8303-430c-bbe6-b9e064f6c8aa/180x180/agentimage703245688_28_08_2024_01_00_01_347.webp?
109.000 USD|+ 30 USD expensas|Calle E6a S/N|168|138|8|2|DEPARTAMENTO 140M2 3 DORM SECT COLEGIO AMERICANO|Carol Lambert Zaputt|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-140m2-3-dorm-sect-colegio-americano|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/446cfa4a-8303-430c-bbe6-b9e064f6c8aa/180x180/agentimage703245688_28_08_2024_01_00_01_347.webp?
329.000 USD|+ 270 USD expensas|Naciones Unidas S/N|135|107|8|2|VENDO DEPARTAMENTO|Karina Guama|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/vendo-departamento-6|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/b95a2cb4-8f86-4db8-9841-48e0ac7ae267/180x180/agentimage1726279365_28_08_2024_01_02_35_698.webp?
105.000 USD|+ 65 USD expensas|Avenida Antonio Granda Centeno 0|55.05|55.05|5|1|VENTA SUITE SECTOR GRANDA CENTENO|Karina Stefania Calle Cueva|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-suite-sector-granda-centeno|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/2b90a9c6-17d4-4ba7-aca5-1ddc8989661d/180x180/agentimage1400516702_29_08_2024_11_35_05_361.webp?
30.000 USD|N/A|Av. Teniente Hugo Ortiz y Moromoro S/N|45|45|4|1|DEPARTAMENTO EN VENTA - SECTOR TURUBAMBA ALTO|Ricardo Trejo|RE/MAX Advance|https://www.remax.com.ec/listings/departamento-en-venta-sector-turubamba-alto|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/b719f59b-2a53-4713-a20a-e33665464cbb/180x180/agentimage1715528467_30_08_2024_02_11_25_977.webp?
23.000 USD|+ 6 USD expensas|E10 S/N|68.43|48.75|4|1|DIVINO NIÑO SUR DEPARTAMENTO DE VENTA 69m|Jonathan Moscoso|RE/MAX Capital|https://www.remax.com.ec/listings/divino-nino-sur-departamento-de-venta-69m|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/ecc52f3e-cfb9-4dea-b528-93b9a5bed770/180x180/agentimage153_17_08_2022_12_32_30.webp?
119.000 USD|+ 62 USD expensas|C Lonso de Torres S/N|74200|74200|2|1|VENTA DE DEPARTAMENTO EN EL BOSQUE|Clara Burbano Jumbo|RE/MAX Impacta|https://www.remax.com.ec/listings/venta-de-departamento-en-el-bosque|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/c7e1331a-9dde-4b28-9e32-fb5d2cf51d56/180x180/agentimage2369_19_06_2024_11_23_27.webp?
140.000 USD|+ 155 USD expensas|Rafael Almeida S/N|148|100|7|2|Venta departameto|Lucía Veintimilla|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-departameto|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/538a22fe-45fb-410a-b7e4-4a700c9b57e8/180x180/agentimage1709947665_28_08_2024_12_55_04_351.webp?
218.000 USD|+ 327 USD expensas|Francisco Feijo S/N|230|120|4|2|DEPARTAMENTO EN VENTA SECTOR QUITO TENIS|Teodoro Remigio Rojas Ramirez|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-en-venta-sector-quito-tenis-2|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/224e8c5e-280e-4afa-9480-f6f78e04a6c6/180x180/agentimage1714302781_28_08_2024_03_24_28_660.webp?
125.000 USD|+ 90 USD expensas|Avenida Eloy Alfaro S/N|86|70|4|1|Departamento|Lucía Veintimilla|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/538a22fe-45fb-410a-b7e4-4a700c9b57e8/180x180/agentimage1709947665_28_08_2024_12_55_04_351.webp?
249.000 USD|+ 220 USD expensas|Avenida República de el Salvador S/N|121|121|8|2|DEPARTAMENTO EN VENTA CON UNA HERMOSA VISTA A LA C|Lucía Veintimilla|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-en-venta-con-una-hermosa-vista-a-la-c|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/538a22fe-45fb-410a-b7e4-4a700c9b57e8/180x180/agentimage1709947665_28_08_2024_12_55_04_351.webp?
73.900 USD|+ 35 USD expensas|Jose María Guerreo S/N|150|103|4|2|EN VENTA DEPARTAMENTO URB 23 DE JUNIO - COTOCOLLAO|Martha Guadalupe Sandoval Zapata|RE/MAX Impacta|https://www.remax.com.ec/listings/en-venta-departamento-urb-23-de-junio-cotocollao|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/d5528aa3-f082-4707-97cc-1f44590df27b/180x180/agentimage2125_04_01_2024_03_23_57.webp?
