Precio|Expensas|Dirección|Superficie Total (m²)|Superficie Cubierta (m²)|Ambientes|Baños|Descripción|Agente|URL Propiedad
110000|139|Suiza 3400|5915|5915|3|1|SE VENDE SUITE REPÚBLICA DEL SALVADOR|Carolina Aguilar|https://www.remax.com.ec/listings/se-vende-suite-republica-del-salvador
59000|40|Mariscal Antonio José de Sucre S/N|11157|9207|6|1|Departamento de Venta Av. Occidental|Ana Lucia Donoso|https://www.remax.com.ec/listings/departamento-de-venta-av-occidental
109000|83|Francisco Dalmau S/N|174|136|8|2|En Venta Departamento 175m2 3 dormitorios Ponceano|Gabriela Moya|https://www.remax.com.ec/listings/en-venta-departamento-175m2-3-dormitorios-ponceano
240000|N/A|González Suárez S/N|430|330|9|3|Departamento en venta, PB, con Jardín, G. SUÁREZ|Margarita Rocio Guaycha V|https://www.remax.com.ec/listings/departamento-en-venta-pb-con-jardin-g-suarez
135041|20|Avigiras S/N|92|88|3|2|Departamento 3 Dormitorios Jardines de Amagasi|Evelyn Estefanía Aules Camañero|https://www.remax.com.ec/listings/departamento-3-dormitorios-jardines-de-amagasi-2
135041|20|Avigiras S/N|92|88|3|2|Departamento 3 Dormitorios Jardines de Amagasi|Evelyn Estefanía Aules Camañero|https://www.remax.com.ec/listings/departamento-3-dormitorios-jardines-de-amagasi-1
104227|20|Avigiras S/N|6966|6966|4|1|Departamento 2 Dormitorios Jardines de Amagasi|Evelyn Estefanía Aules Camañero|https://www.remax.com.ec/listings/departamento-2-dormitorios-jardines-de-amagasi
162906|45|Avigiras S/N|146|86|4|2|Departamento 3 Dormitorios Jardines de Amagasi|Evelyn Estefanía Aules Camañero|https://www.remax.com.ec/listings/departamento-3-dormitorios-jardines-de-amagasi
110000|100|Manuel Valdiviezo S/N|115|95|3|2|Venta Departamento 2 Habitaciones El Pinar|Evelyn Estefanía Aules Camañero|https://www.remax.com.ec/listings/venta-departamento-2-habitaciones-el-pinar
430000|330|González Suárez S/N|21224|15324|15|3|Departamento Exclusivo 212.10 M2 2 parqueaderos|Paulina Suasnavas|https://www.remax.com.ec/listings/departamento-exclusivo-212-10-m2-2-parqueaderos-1
88076|40|Pasaje Dolomitas y de los Naranjos S/N|6387|6387|5|1|Suite en Venta Monteserrin 64,28m2 B10|Yury Chirinos|https://www.remax.com.ec/listings/suite-en-venta-monteserrin-64-28m2-b10
173240|40|Pasaje Dolomitas y de los Naranjos S/N|12191|12191|7|2|Departamento en Venta Monteserrin 3 dormitorios B1|Yury Chirinos|https://www.remax.com.ec/listings/departamento-en-venta-monteserrin-3-dormitorios-b1-1
98000|112|Gonzalo Endara Crown 0|107|87|5|1|SUITE EN VENTA 87 m2 LOMAS DE MONTESERIN|Steven Salas|https://www.remax.com.ec/listings/suite-en-venta-87-m2-lomas-de-monteserin
300000|180|Pasaje Pons y Pasaje Girasol S/N|267|170|9|2|Tumbaco-Departamento en venta cercano Ruta Viva|Paulo Gabriel Callejas Campelo|https://www.remax.com.ec/listings/tumbaco-departamento-en-venta-cercano-ruta-viva
106000|127|Mariano Echeverria S/N|9769|6698|6|1|Suite en venta en Quito Tenis|Leonor Espinoza|https://www.remax.com.ec/listings/suite-en-venta-en-quito-tenis
89900|50|Francisco Dalmau 500|137|126|8|2|SE VENDE DEPARTAMENTO, FRANCISCO DALMAU|Janneth Gómez|https://www.remax.com.ec/listings/se-vende-departamento-francisco-dalmau
63000|N/A|General Jose Maria Guerrero-manta S/N|865|665|3|1|Departamento en Venta Conjunto La Recoleta|Johanna Campana|https://www.remax.com.ec/listings/departamento-en-venta-conjunto-la-recoleta-1
101000|100|Los Laureles S/N|150|100|4|2|Departamento de Venta, Sector Los Laureles|Johanna Campana|https://www.remax.com.ec/listings/departamento-de-venta-sector-los-laureles-1
79000|35|Carlos Mantilla 100|23096|18908|8|2|VENDO CASA 230M2 CON TERRAZA 3 DOR CARLOS MANTILL|Carol Lambert Zaputt|https://www.remax.com.ec/listings/vendo-casa-230m2-con-terraza-3-dor-carlos-mantill
200|N/A|Antonio Elizalde S/N|35|35|2|1|EN RENTA SUITE REMODELADA FAC. MEDICINA U. CENTRA|Marlon Rodrigo Núñez Mejía|https://www.remax.com.ec/listings/en-renta-suite-remodelada-fac-medicina-u-centra
200|N/A|Antonio Elizalde S/N|35|35|2|1|SUITE EN RENTA, SECTOR EL DORADO|Marlon Rodrigo Núñez Mejía|https://www.remax.com.ec/listings/suite-en-renta-sector-el-dorado
160000|125|El Zurriago 144 100|135|110|6|2|DEPARTAMENTO 110 M2, PISO 5, EDIF. MODIGLIANI II|Consuelo Katheryne Herrera Ramos|https://www.remax.com.ec/listings/departamento-110-m2-piso-5-edif-modigliani-ii
20000|N/A|Calle E10 S/N|56|56|5|2|DEPARTAMENTO SECTOR DIVINO NIÑO|Patricia Gabriela Villamarin Osorio|https://www.remax.com.ec/listings/departamento-sector-divino-nino
81000|30|Ugarte y Saravia 100|136|123|6|2|VENDO DEPARTAMENTO 123M2 SECTOR BELISARIO QUEVEDO|Carol Lambert Zaputt|https://www.remax.com.ec/listings/vendo-departamento-123m2-sector-belisario-quevedo
