Precio|Expensas|Dirección|Superficie Total (m²)|Superficie Cubierta (m²)|Ambientes|Baños|Descripción|Agencia|URL Propiedad
105000|80|Avebida Ilalo y Jose Joaquin de Olmedo S/N|160|150|4|3|Departamento de 3 hab. Urb. San German CONOCOTO|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-de-3-hab-urb-san-german-conocoto
113900|40|Fernando Dávalos y Pasaje Bernal S/N|12801|100|3|2|DEPARTAMENTO POR ESTRENAR SECTOR LA FLORIDA|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-por-estrenar-sector-la-florida
105000|50|Mañosca S/N|1728|100|3|2|VENDO DEPARTAMENTO DOS DORMITORIOS MAÑOSCA|RE/MAX Capital|https://www.remax.com.ec/listings/vendo-departamento-dos-dormitorios-manosca
53000|25|Pedro Pinto G 0|8313|8313|5|2|SE VENDE DTO, 5TO PISO, CASALES SAN PEDRO, 3D|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/se-vende-dto-5to-piso-casales-san-pedro-3d
54900|45|Av. Mariscal Antonio Jose de Sucre y Calle N68-b S/N|8661|70|3|1|Departamento En Venta El Condado Santa Isabel|RE/MAX Advance|https://www.remax.com.ec/listings/departamento-en-venta-el-condado-santa-isabel-1
149000|87|Gonzalo Endara Crown y Jaime Andrade Moscoso S/N|118|118|5|2|Departamento de venta en Lomas de Monteserrin|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-de-venta-en-lomas-de-monteserrin
90000|N/A|Isla Española S/N|1607|1607|5|1|Venta departamento sector Jipijapa|RE/MAX Advance|https://www.remax.com.ec/listings/venta-departamento-sector-jipijapa
70000|20|Elicio Flor S/N|119|118|3|2|Departamento en venta en Cotocollao|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-en-venta-en-cotocollao
98000|85|Alonso de Torres S/N|74|70|3|1|VENDO LINDA SUITE AMOBLADA CON BALCON EL BOSQUE|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/vendo-linda-suite-amoblada-con-balcon-el-bosque
54000|25|Juan Díaz y Rodrigo Muriel S/N|7781|6533|3|1|DEPARTAMENTO 2D JARDINES DE IÑAQUITO|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-2d-jardines-de-inaquito
85000|106|Rafael Almeida S/N|6712|6712|3|1|SUITE EN VENTA SECTOR QUITO TENIS|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/suite-en-venta-sector-quito-tenis-1
217000|90|Granda Centeno S/N|130|130|6|3|DEPARTAMENTO POR ESTRENAR VENDO QUITO TENNIS|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-por-estrenar-vendo-quito-tennis
85000|10|Oe2 Soldado David Caicedo S/N|10975|100|4|2|"DEPARTAMENTO EN VENTA ""CONOCOTO"""|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-en-venta-conocoto
126000|125|6 de Diciembre S/N|137|137|5|2|Departamento en Venta en Edificio Tirrena La Paz|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-en-venta-en-edificio-tirrena-la-paz
45000|5|Eje Longitudinal Pedro Vicen... S/N|78|58|5|2|Excelente oportunidad venta departamento Turubamba|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/excelente-oportunidad-venta-departamento-turubamba-1
115000|120|Hernandez de Giron S/N|161|131|8|2|DEPARTAMENTO EN VENTA 131 m2 SECTOR RUMIPAMBA|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-en-venta-131-m2-sector-rumipamba
68000|55|Avenida 10 de Agosto S/N|73|73|4|1|Quito departamentos en venta sector Vozandes 73m2|RE/MAX Capital|https://www.remax.com.ec/listings/quito-departamentos-en-venta-sector-vozandes-73m2
68500|45|Calle Antonio Nuñez y Av. Diego de Vasquez S/N|125|112|4|2|Departamento en Venta Ponceano|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-en-venta-ponceano
65000|50|Vicente Heredia S/N|118|106|4|2|En Venta Departamento Conjunto Ciudad Occidente|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/en-venta-departamento-conjunto-ciudad-occidente
163300|1|De Las Amapolas y Cactus S/N|130|102|4|2|Departamento en Venta Sector Monteserrín|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-en-venta-sector-monteserrin-1
56500|31|Pusuqui, Av Manuel Córdova Galarza Km 4 S/N|9115|704|5|1|DEPARTAMENTO DE VENTA SECTOR PUSUQUÍ|RE/MAX Advance|https://www.remax.com.ec/listings/departamento-de-venta-sector-pusuqui
159000|193|Gregorio de Bobadilla S/N|176|134|8|2|DE VENTA DEPARTAMENTO EN GRANDA CENTENO|RE/MAX Futuro|https://www.remax.com.ec/listings/de-venta-departamento-en-granda-centeno
119000|125|Brasil y Edmundo Carvajal S/N|134|120|8|2|BRASIL DEP3 DORM. EN LA BRASIL DE 134M2 PISO 1|RE/MAX Futuro|https://www.remax.com.ec/listings/brasil-dep3-dorm-en-la-brasil-de-134m2-piso-1
55000|25|Eloy Alfaro y la Higuera S/N|87|74|4|2|DEPARTAMENTO DE VENTA NORTE DE QUITO|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-de-venta-norte-de-quito
