captura,precio,agencia,aseos,zona,superficie,habitaciones,gastos,extras
2024-09-10,273381,Fazwaz,2.0,"Quito, Quito",143.0,3,,"Esta propiedad es un apartamento de 143 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $273,381 ($1,912/m²). 3 Habitación Apartamento en venta en IB 6B: New Condo for Sale in Quiet Neighborhood of Quito with Stunning Views and All the Amenities 3 Habitación Apartamento en venta en IB 6B: New Condo for Sale in Quiet Neighborhood of Quito with Stunning Views and All the Amenities"
2024-09-10,284732,Fazwaz,2.0,"Quito, Quito",98.0,2,,"Esta propiedad es un apartamento de 98 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $284,732 ($2,905/m²). 2 Habitación Apartamento en venta en OH 5003 K: Brand-new Completed Condo for Sale in Upscale District with Views of Quito - Showcasing C 2 Habitación Apartamento en venta en OH 5003 K: Brand-new Completed Condo for Sale in Upscale District with Views of Quito - Showcasing C"
2024-09-10,191619,Fazwaz,2.0,"Quito, Quito",96.0,3,,"Esta propiedad es un apartamento de 96 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $191,619 ($1,996/m²). 3 Habitación Apartamento en venta en IB 10A: New Condo for Sale in Quiet Neighborhood of Quito with Stunning Views and All the Amenities 3 Habitación Apartamento en venta en IB 10A: New Condo for Sale in Quiet Neighborhood of Quito with Stunning Views and All the Amenities"
2024-09-10,204880,Fazwaz,2.0,"Quito, Quito",109.0,3,,"Esta propiedad es un apartamento de 109 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $204,880 ($1,880/m²). 3 Habitación Apartamento en venta en IB 5B: New Condo for Sale in Quiet Neighborhood of Quito with Stunning Views and All the Amenities 3 Habitación Apartamento en venta en IB 5B: New Condo for Sale in Quiet Neighborhood of Quito with Stunning Views and All the Amenities"
2024-09-10,125336,Fazwaz,1.0,"Quito, Quito",49.0,1,,"Esta propiedad es un apartamento de 49 m² con 1 habitación y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $125,336 ($2,558/m²). 1 Habitación Apartamento en venta en OH 6001 I: Brand-new Completed Condo for Sale in Upscale District with Views of Quito - Showcasing C 1 Habitación Apartamento en venta en OH 6001 I: Brand-new Completed Condo for Sale in Upscale District with Views of Quito - Showcasing C"
2024-09-10,167473,Fazwaz,1.0,"Quito, Quito",63.0,1,,"Esta propiedad es un apartamento de 63 m² con 1 habitación y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $167,473 ($2,658/m²). 1 Habitación Apartamento en venta en OH 306 B: Brand-new Completed Condo for Sale in Upscale District with Views of Quito - Showcasing Cr 1 Habitación Apartamento en venta en OH 306 B: Brand-new Completed Condo for Sale in Upscale District with Views of Quito - Showcasing Cr"
2024-09-10,299000,Fazwaz,2.0,"Nayon, Quito",208.0,3,,"Esta propiedad es un apartamento de 208 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $299,000 ($1,437/m²). 3 Habitación Apartamento en venta en Nayón - Quito 3 Habitación Apartamento en venta en Nayón - Quito"
2024-09-10,180000,Fazwaz,2.0,"Guangopolo, Quito",200.0,4,,"Esta propiedad es un apartamento de 200 m² con 4 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $180,000 ($900/m²). 4 Habitación Apartamento en venta en Gonzalez Suarez - Quito 4 Habitación Apartamento en venta en Gonzalez Suarez - Quito"
2024-09-10,381720,Fazwaz,4.0,"Tumbaco, Quito",244.0,3,,"Esta propiedad es un apartamento de 244 m² con 3 habitaciones y 4 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $381,720 ($1,564/m²). 3 Habitación Apartamento en venta en S 208: Beautiful Contemporary Condo for Sale in Cumbayá with Open Floor Plan and Outdoor Living Room 3 Habitación Apartamento en venta en S 208: Beautiful Contemporary Condo for Sale in Cumbayá with Open Floor Plan and Outdoor Living Room"
2024-09-10,190000,Fazwaz,2.0,"Nayon, Quito",140.0,3,,"Esta propiedad es un apartamento de 140 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $190,000 ($1,357/m²). 3 Habitación Apartamento en venta en Nayón - Quito 3 Habitación Apartamento en venta en Nayón - Quito"
2024-09-10,243750,Fazwaz,1.0,"Cumbaya, Quito",115.0,2,,"Esta propiedad es un apartamento de 115 m² con 2 habitaciones y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $243,750 ($2,120/m²). 2 Habitación Apartamento en venta en #318 KIRO Cumbayá: INVESTOR ALERT! Luxury 2BR Condo in Zone with High Appreciation 2 Habitación Apartamento en venta en #318 KIRO Cumbayá: INVESTOR ALERT! Luxury 2BR Condo in Zone with High Appreciation"
2024-09-10,396390,Fazwaz,4.0,"Tumbaco, Quito",244.0,3,,"Esta propiedad es un apartamento de 244 m² con 3 habitaciones y 4 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $396,390 ($1,625/m²). 3 Habitación Apartamento en venta en S 308: Beautiful Contemporary Condo for Sale in Cumbayá with Open Floor Plan and Outdoor Living Room 3 Habitación Apartamento en venta en S 308: Beautiful Contemporary Condo for Sale in Cumbayá with Open Floor Plan and Outdoor Living Room"
2024-09-10,238906,Fazwaz,2.0,"Quito, Quito",117.0,3,,"Esta propiedad es un apartamento de 117 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $238,906 ($2,042/m²). 3 Habitación Apartamento en venta en Carolina 1103: New Condo for Sale Centrally Located in the Heart of the Quito Business District - Qu 3 Habitación Apartamento en venta en Carolina 1103: New Condo for Sale Centrally Located in the Heart of the Quito Business District - Qu"
2024-09-10,284993,Fazwaz,2.0,"Quito, Quito",90.0,2,,"Esta propiedad es un apartamento de 90 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $284,993 ($3,167/m²). 2 Habitación Apartamento en venta en OH 9001 O: Brand-new Completed Condo for Sale in Upscale District with Views of Quito - Showcasing C 2 Habitación Apartamento en venta en OH 9001 O: Brand-new Completed Condo for Sale in Upscale District with Views of Quito - Showcasing C"
2024-09-10,212319,Fazwaz,2.0,"Quito, Quito",106.0,3,,"Esta propiedad es un apartamento de 106 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $212,319 ($2,003/m²). 3 Habitación Apartamento en venta en IB 10B: New Condo for Sale in Quiet Neighborhood of Quito with Stunning Views and All the Amenities 3 Habitación Apartamento en venta en IB 10B: New Condo for Sale in Quiet Neighborhood of Quito with Stunning Views and All the Amenities"
2024-09-10,123869,Fazwaz,1.0,"Quito, Quito",51.0,1,,"Esta propiedad es un apartamento de 51 m² con 1 habitación y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $123,869 ($2,429/m²). 1 Habitación Apartamento en venta en OH 204 C: Brand-new Completed Condo for Sale in Upscale District with Views of Quito - Showcasing Cr 1 Habitación Apartamento en venta en OH 204 C: Brand-new Completed Condo for Sale in Upscale District with Views of Quito - Showcasing Cr"
2024-09-10,141464,Fazwaz,2.0,"Quito, Quito",76.0,2,,"Esta propiedad es un apartamento de 76 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $141,464 ($1,861/m²). 2 Habitación Apartamento en venta en IB 11C: New Condo for Sale in Quiet Neighborhood of Quito with Stunning Views and All the Amenities 2 Habitación Apartamento en venta en IB 11C: New Condo for Sale in Quiet Neighborhood of Quito with Stunning Views and All the Amenities"
2024-09-10,127727,Fazwaz,1.0,"Quito, Quito",47.0,1,,"Esta propiedad es un apartamento de 47 m² con 1 habitación y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $127,727 ($2,718/m²). 1 Habitación Apartamento en venta en OH 201 A: Brand-new Completed Condo for Sale in Upscale District with Views of Quito - Showcasing Cr 1 Habitación Apartamento en venta en OH 201 A: Brand-new Completed Condo for Sale in Upscale District with Views of Quito - Showcasing Cr"
2024-09-10,213837,Fazwaz,2.0,"Quito, Quito",112.0,3,,"Esta propiedad es un apartamento de 112 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $213,837 ($1,909/m²). 3 Habitación Apartamento en venta en IB 7A: New Condo for Sale in Quiet Neighborhood of Quito with Stunning Views and All the Amenities 3 Habitación Apartamento en venta en IB 7A: New Condo for Sale in Quiet Neighborhood of Quito with Stunning Views and All the Amenities"
2024-09-10,127000,Fazwaz,1.0,"Guangopolo, Quito",92.0,2,,"Esta propiedad es un apartamento de 92 m² con 2 habitaciones y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $127,000 ($1,380/m²). 2 Habitación Apartamento en venta en Gonzalez Suarez - Quito 2 Habitación Apartamento en venta en Gonzalez Suarez - Quito"
2024-09-10,251910,Fazwaz,2.0,"Quito, Quito",105.0,3,,"Esta propiedad es un apartamento de 105 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $251,910 ($2,399/m²). 3 Habitación Apartamento en venta en IB 9A: New Condo for Sale in Quiet Neighborhood of Quito with Stunning Views and All the Amenities 3 Habitación Apartamento en venta en IB 9A: New Condo for Sale in Quiet Neighborhood of Quito with Stunning Views and All the Amenities"
2024-09-10,153759,Fazwaz,2.0,"Quito, Quito",80.0,2,,"Esta propiedad es un apartamento de 80 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $153,759 ($1,922/m²). 2 Habitación Apartamento en venta en IB 3A: New Condo for Sale in Quiet Neighborhood of Quito with Stunning Views and All the Amenities 2 Habitación Apartamento en venta en IB 3A: New Condo for Sale in Quiet Neighborhood of Quito with Stunning Views and All the Amenities"
2024-09-10,359185,Fazwaz,3.0,"Cumbaya, Quito",193.0,3,,"Esta propiedad es un apartamento de 193 m² con 3 habitaciones y 3 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $359,185 ($1,861/m²). 3 Habitación Apartamento en venta en K 301: Brand New Modern Condos for Sale In a Privileged Area of Cumbayá 3 Habitación Apartamento en venta en K 301: Brand New Modern Condos for Sale In a Privileged Area of Cumbayá"
2024-09-10,253518,Fazwaz,2.0,"Tumbaco, Quito",143.0,2,,"Esta propiedad es un apartamento de 143 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $253,518 ($1,773/m²). 2 Habitación Apartamento en venta en S 106: Beautiful Contemporary Condo for Sale in Cumbayá with Open Floor Plan and Outdoor Living Room 2 Habitación Apartamento en venta en S 106: Beautiful Contemporary Condo for Sale in Cumbayá with Open Floor Plan and Outdoor Living Room"
2024-09-10,118788,Fazwaz,1.0,"Quito, Quito",58.0,1,,"Esta propiedad es un apartamento de 58 m² con 1 habitación y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $118,788 ($2,048/m²). 1 Habitación Apartamento en venta en Carolina 604: New Condo for Sale Centrally Located in the Heart of the Quito Business District - Qua 1 Habitación Apartamento en venta en Carolina 604: New Condo for Sale Centrally Located in the Heart of the Quito Business District - Qua"
2024-09-10,154233,Fazwaz,2.0,"Quito, Quito",80.0,2,,"Esta propiedad es un apartamento de 80 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $154,233 ($1,928/m²). 2 Habitación Apartamento en venta en Carolina 303: New Condo for Sale Centrally Located in the Heart of the Quito Business District - Qua 2 Habitación Apartamento en venta en Carolina 303: New Condo for Sale Centrally Located in the Heart of the Quito Business District - Qua"
2024-09-10,114116,Fazwaz,1.0,"Quito, Quito",58.0,1,,"Esta propiedad es un apartamento de 58 m² con 1 habitación y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $114,116 ($1,968/m²). 1 Habitación Apartamento en venta en Carolina 204: New Condo for Sale Centrally Located in the Heart of the Quito Business District - Qua 1 Habitación Apartamento en venta en Carolina 204: New Condo for Sale Centrally Located in the Heart of the Quito Business District - Qua"
2024-09-10,174457,Fazwaz,2.0,"Quito, Quito",88.0,2,,"Esta propiedad es un apartamento de 88 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $174,457 ($1,982/m²). 2 Habitación Apartamento en venta en Carolina 202: New Condo for Sale Centrally Located in the Heart of the Quito Business District - Qua 2 Habitación Apartamento en venta en Carolina 202: New Condo for Sale Centrally Located in the Heart of the Quito Business District - Qua"
2024-09-10,140214,Fazwaz,2.0,"Quito, Quito",76.0,2,,"Esta propiedad es un apartamento de 76 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $140,214 ($1,845/m²). 2 Habitación Apartamento en venta en IB 10C: New Condo for Sale in Quiet Neighborhood of Quito with Stunning Views and All the Amenities 2 Habitación Apartamento en venta en IB 10C: New Condo for Sale in Quiet Neighborhood of Quito with Stunning Views and All the Amenities"
2024-09-10,179119,Fazwaz,2.0,"Quito, Quito",78.0,2,,"Esta propiedad es un apartamento de 78 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $179,119 ($2,296/m²). 2 Habitación Apartamento en venta en IB 12C: New Condo for Sale in Quiet Neighborhood of Quito with Stunning Views and All the Amenities 2 Habitación Apartamento en venta en IB 12C: New Condo for Sale in Quiet Neighborhood of Quito with Stunning Views and All the Amenities"
2024-09-11,143000,Fazwaz,1.0,"Cumbaya, Quito",66.0,1,,"Esta propiedad es un apartamento de 66 m² con 1 habitación y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $143,000 ($2,167/m²). 1 Habitación Apartamento en venta en #15 Anantara: Exclusive Condo for Sale in Cumbayá 1 Habitación Apartamento en venta en #15 Anantara: Exclusive Condo for Sale in Cumbayá"
2024-09-11,159696,Fazwaz,1.0,"Quito, Quito",100.0,2,,"Esta propiedad es un apartamento de 100 m² con 2 habitaciones y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $159,696 ($1,597/m²). 2 Habitación Apartamento en venta en 101: Brand-new Condo with One of the Best Views of Quito's Historic Center 2 Habitación Apartamento en venta en 101: Brand-new Condo with One of the Best Views of Quito's Historic Center"
2024-09-11,323400,Fazwaz,2.0,"Cumbaya, Quito",147.1,3,,"Esta propiedad es un apartamento de 147.10 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $323,400 ($2,198/m²). 3 Habitación Apartamento en venta en #3 Anantara: Exclusive Condo for Sale in Cumbayá 3 Habitación Apartamento en venta en #3 Anantara: Exclusive Condo for Sale in Cumbayá"
