captura,precio,agencia,aseos,zona,superficie,habitaciones,gastos,extras
2024-09-06,150000.0,Fazwaz,1.5,"Quito, Quito",68.0,1.0,,"Vista, Vista, Parque, Mascotas, Piscina, Jacuzzi, Gimnasio, Parque, terraza, balcón"
2024-09-06,266026.0,Fazwaz,3.0,"Cumbaya, Quito",139.0,3.0,,sin extra
2024-09-06,255391.0,Fazwaz,3.0,"Cumbaya, Quito",136.0,3.0,,sin extra
2024-09-06,242238.0,Fazwaz,2.0,"Cumbaya, Quito",124.0,2.0,,sin extra
2024-09-06,252403.0,Fazwaz,2.0,"Cumbaya, Quito",130.0,2.0,,sin extra
2024-09-06,258807.0,Fazwaz,2.0,"Cumbaya, Quito",134.0,2.0,,sin extra
2024-09-06,256289.0,Fazwaz,2.0,"Cumbaya, Quito",113.0,2.0,,sin extra
2024-09-06,312493.0,Fazwaz,3.0,"Cumbaya, Quito",143.0,3.0,,sin extra
2024-09-06,290671.0,Fazwaz,3.0,"Cumbaya, Quito",146.0,3.0,,sin extra
2024-09-06,238308.0,Fazwaz,2.0,"Cumbaya, Quito",122.0,2.0,,sin extra
2024-09-06,285968.0,Fazwaz,2.0,"Cumbaya, Quito",120.0,2.0,,sin extra
2024-09-06,152865.0,Fazwaz,1.0,"Cumbaya, Quito",63.0,1.0,,sin extra
2024-09-06,284089.0,Fazwaz,2.0,"Cumbaya, Quito",128.0,2.0,,sin extra
2024-09-06,499000.0,Fazwaz,3.0,"Quito, Quito",760.01,3.0,,sin extra
2024-09-06,271626.0,Fazwaz,3.0,"Cumbaya, Quito",139.0,3.0,,sin extra
2024-09-06,159263.0,Fazwaz,1.0,"Cumbaya, Quito",63.0,1.0,,sin extra
2024-09-06,180000.0,Fazwaz,3.0,"Quito, Quito",228.0,4.0,,sin extra
2024-09-06,99700.0,Fazwaz,2.0,"Quito, Quito",95.0,3.0,,sin extra
2024-09-06,252434.0,Fazwaz,2.0,"Cumbaya, Quito",113.0,2.0,,sin extra
2024-09-06,70000.0,Fazwaz,2.0,"Quito, Quito",115.0,3.0,,sin extra
2024-09-06,140000.0,Fazwaz,2.0,"Quito, Quito",95.0,3.0,,sin extra
2024-09-06,264110.0,Fazwaz,2.0,"Conocoto, Quito",148.53,3.0,,sin extra
2024-09-06,323400.0,Fazwaz,2.0,"Cumbaya, Quito",147.1,3.0,,sin extra
2024-09-06,174402.0,Fazwaz,2.0,"Quito, Quito",101.82,3.0,,sin extra
2024-09-06,323125.0,Fazwaz,2.0,"Cumbaya, Quito",134.0,3.0,,sin extra
2024-09-06,158197.0,Fazwaz,2.0,"Quito, Quito",96.83,3.0,,sin extra
2024-09-06,407925.0,Fazwaz,2.0,"Cumbaya, Quito",166.0,3.0,,sin extra
2024-09-06,220000.0,Fazwaz,4.0,"Quito, Quito",155.0,4.0,,"Bellavista, Bellavista"
2024-09-06,216720.0,Fazwaz,2.0,"Tumbaco, Quito",129.0,2.0,,sin extra
2024-09-06,131090.0,Fazwaz,1.0,"Quito, Quito",64.0,1.0,,sin extra
2024-09-06,237920.0,Fazwaz,2.0,"Quito, Quito",110.0,3.0,,sin extra
2024-09-06,318050.0,Fazwaz,2.0,"Cumbaya, Quito",127.0,3.0,,sin extra
2024-09-06,302150.0,Fazwaz,2.0,"Cumbaya, Quito",117.5,3.0,,sin extra
2024-09-06,188203.0,Fazwaz,2.0,"Cumbaya, Quito",98.0,2.0,,sin extra
2024-09-06,75000.0,Fazwaz,1.0,"Quito, Quito",106.0,3.0,,sin extra
2024-09-06,326350.0,Fazwaz,2.0,"Cumbaya, Quito",154.85,3.0,,sin extra
2024-09-06,180331.0,Fazwaz,2.0,"Cumbaya, Quito",98.0,2.0,,sin extra
2024-09-06,95000.0,Fazwaz,3.0,"Quito, Quito",105.0,3.0,,sin extra
2024-09-06,321278.0,Fazwaz,2.0,"Quito, Quito",165.0,2.0,,sin extra
2024-09-06,228000.0,Fazwaz,4.0,"Quito, Quito",200.0,4.0,,sin extra
2024-09-06,91000.0,Fazwaz,2.0,"Pomasqui, Quito",102.0,2.0,,sin extra
2024-09-06,389858.0,Fazwaz,3.0,"Cumbaya, Quito",182.0,3.0,,sin extra
2024-09-06,240000.0,Fazwaz,3.0,"Quito, Quito",138.0,3.0,,sin extra
2024-09-06,271050.0,Fazwaz,2.0,"Cumbaya, Quito",109.0,2.0,,sin extra
2024-09-06,123480.0,Fazwaz,1.0,"Tumbaco, Quito",71.0,1.0,,sin extra
2024-09-06,238000.0,Fazwaz,2.0,"Quito, Quito",152.0,3.0,,sin extra
2024-09-06,125000.0,Fazwaz,1.0,"Quito, Quito",150.0,1.0,,sin extra
2024-09-06,264100.0,Fazwaz,2.0,"Cumbaya, Quito",134.0,3.0,,sin extra
2024-09-06,159696.0,Fazwaz,1.0,"Quito, Quito",100.0,2.0,,sin extra
2024-09-06,143000.0,Fazwaz,1.0,"Cumbaya, Quito",66.0,1.0,,sin extra
2024-09-06,345150.0,Fazwaz,2.0,"Cumbaya, Quito",134.5,3.0,,sin extra
2024-09-06,323400.0,Fazwaz,2.0,"Cumbaya, Quito",147.1,3.0,,sin extra
2024-09-06,216045.0,Fazwaz,2.0,"Tumbaco, Quito",129.0,2.0,,sin extra
2024-09-06,297850.0,Fazwaz,2.0,"Cumbaya, Quito",123.5,3.0,,sin extra
2024-09-06,132240.0,Fazwaz,1.0,"Tumbaco, Quito",79.0,1.0,,sin extra
2024-09-06,195045.0,Fazwaz,2.0,"Tumbaco, Quito",119.0,2.0,,sin extra
2024-09-06,324700.0,Fazwaz,2.0,"Cumbaya, Quito",128.0,3.0,,sin extra
2024-09-06,328850.0,Fazwaz,2.0,"Cumbaya, Quito",131.0,3.0,,sin extra
2024-09-06,140525.0,Fazwaz,2.0,"Quito, Quito",90.72,2.0,,sin extra
2024-09-06,169922.0,Fazwaz,2.0,"Quito, Quito",101.82,3.0,,sin extra
2024-09-07,188075.0,Intramuros Constructora,2.0,Distrito Metropolitano de Quito,101.0,2.0,,sin extra
2024-09-07,156000.0,Emma Barragán,3.0,Distrito Metropolitano de Quito,110.0,2.0,,"Estacionamiento, Balcón, Jacuzzi, Vista, Patio, Terraza, Seguridad, Gimnasio, Piscina, Ascensor, Sauna, Jardín"
2024-09-07,220920.0,GS CONSTRUCCIONES Y BIENES RAÍCES,3.0,Distrito Metropolitano de Quito,105.0,2.0,,"Estacionamiento, Balcón, Jacuzzi, Vista, Seguridad, Piscina, Ascensor, Jardín, Bellavista"
2024-09-07,135000.0,GS CONSTRUCCIONES Y BIENES RAÍCES,2.0,Distrito Metropolitano de Quito,100.0,3.0,,"Estacionamiento, Jacuzzi, Vista, Terraza, Seguridad, Gimnasio, Piscina, Ascensor, Sauna, Jardín, Bellavista"
2024-09-07,280000.0,GS CONSTRUCCIONES Y BIENES RAÍCES,5.0,Distrito Metropolitano de Quito,341.0,3.0,,"Estacionamiento, Terraza, Gimnasio, Ascensor, Jardín, Terraza, Bellavista"
2024-09-07,150000.0,GS CONSTRUCCIONES Y BIENES RAÍCES,2.0,Distrito Metropolitano de Quito,98.0,2.0,,"Estacionamiento, Terraza, Gimnasio, Ascensor, Bellavista"
2024-09-07,124000.0,GS CONSTRUCCIONES Y BIENES RAÍCES,3.0,Distrito Metropolitano de Quito,144.0,3.0,,"Estacionamiento, Vista, Terraza, Seguridad, Ascensor"
2024-09-07,270000.0,Inmoejecutivos,3.0,Distrito Metropolitano de Quito,164.0,2.0,,"Estacionamiento, Ascensor, Vista"
2024-09-07,220000.0,Inmoejecutivos,2.0,Distrito Metropolitano de Quito,155.0,3.0,,"Estacionamiento, Balcón, Jacuzzi, Vista, Patio, Terraza, Seguridad, Gimnasio, Piscina, Ascensor, Sauna, Jardín"
2024-09-07,98000.0,FREDDY CABRERA - BIENES RAÍCES,3.0,Distrito Metropolitano de Quito,95.0,3.0,,"Estacionamiento, Balcón, Vista, Patio, Terraza, Seguridad, Gimnasio, Ascensor, Jardín"
2024-09-07,683000.0,Proyectos con Futuro,5.0,Distrito Metropolitano de Quito,527.0,4.0,,"Estacionamiento, Seguridad, Gimnasio, Ascensor, Vista, Patio"
2024-09-07,118000.0,Inmoejecutivos,2.0,Distrito Metropolitano de Quito,120.0,3.0,,"Estacionamiento, Balcón, Jacuzzi, Vista, Patio, Terraza, Seguridad, Gimnasio, Piscina, Ascensor, Sauna, Jardín, Gaspar"
2024-09-07,149600.0,Intramuros Constructora,3.0,Distrito Metropolitano de Quito,86.0,2.0,,"Estacionamiento, Vista, Patio, Terraza, Seguridad, Ascensor"
2024-09-07,229000.0,Inmoejecutivos,2.0,Distrito Metropolitano de Quito,186.0,2.0,,"Estacionamiento, Balcón, Jacuzzi, Vista, Patio, Terraza, Seguridad, Gimnasio, Ascensor, Sauna, Jardín, Jardín"
2024-09-07,106515.0,Intramuros Constructora,1.0,Distrito Metropolitano de Quito,55.0,1.0,,"Estacionamiento, Jacuzzi, Patio, Terraza, Seguridad, Gimnasio, Piscina, Ascensor, Sauna, Jardín"
2024-09-07,305652.0,Intramuros Constructora,4.0,Distrito Metropolitano de Quito,159.0,3.0,,"Estacionamiento, Balcón, Jacuzzi, Vista, Patio, Terraza, Seguridad, Gimnasio, Piscina, Ascensor, Sauna, Jardín"
2024-09-07,169000.0,AB&amp;MD Gestión Inmobiliaria By KSA,2.0,Distrito Metropolitano de Quito,97.0,2.0,,"Estacionamiento, Balcón, Jacuzzi, Vista, Patio, Terraza, Seguridad, Gimnasio, Piscina, Ascensor, Sauna, Jardín, Bellavista"
2024-09-07,115000.0,JAO Real Estate,2.0,Distrito Metropolitano de Quito,115.0,2.0,,"Estacionamiento, Balcón, Vista, Terraza, Gimnasio, Ascensor"
2024-09-07,145000.0,JAO Real Estate,2.0,Distrito Metropolitano de Quito,172.0,3.0,,"Estacionamiento, Balcón, Seguridad, Piscina, Ascensor, Jardín"
2024-09-07,69000.0,JAO Real Estate,1.0,Distrito Metropolitano de Quito,74.0,1.0,,"Estacionamiento, Balcón, Terraza"
2024-09-07,110000.0,Intramuros Constructora,2.0,Distrito Metropolitano de Quito,79.0,1.0,,"Estacionamiento, Balcón, Seguridad, Ascensor"
2024-09-07,300551.0,Intramuros Constructora,3.0,Distrito Metropolitano de Quito,157.0,3.0,,"Estacionamiento, Balcón, Jacuzzi, Vista, Patio, Terraza, Seguridad, Gimnasio, Ascensor, Sauna, Jardín"
2024-09-07,428502.0,Intramuros Constructora,4.0,Distrito Metropolitano de Quito,249.0,3.0,,"Estacionamiento, Balcón, Jacuzzi, Vista, Patio, Terraza, Seguridad, Gimnasio, Ascensor, Sauna, Jardín"
2024-09-07,627486.0,Intramuros Constructora,4.0,Distrito Metropolitano de Quito,464.0,3.0,,"Estacionamiento, Balcón, Jacuzzi, Vista, Patio, Terraza, Seguridad, Gimnasio, Piscina, Ascensor, Sauna, Jardín"
2024-09-07,140056.0,Intramuros Constructora,2.0,Distrito Metropolitano de Quito,88.0,1.0,,"Estacionamiento, Balcón, Jacuzzi, Vista, Patio, Terraza, Seguridad, Gimnasio, Piscina, Ascensor, Sauna, Jardín"
2024-09-07,130710.0,Intramuros Constructora,2.0,Distrito Metropolitano de Quito,68.0,1.0,,"Estacionamiento, Balcón, Jacuzzi, Vista, Patio, Terraza, Seguridad, Gimnasio, Piscina, Ascensor, Sauna, Jardín"
2024-09-07,181342.0,Intramuros Constructora,2.0,Distrito Metropolitano de Quito,95.0,2.0,,"Estacionamiento, Balcón, Jacuzzi, Vista, Patio, Terraza, Seguridad, Gimnasio, Piscina, Ascensor, Sauna, Jardín"
2024-09-07,90000.0,Adriana Tipán,3.0,Distrito Metropolitano de Quito,137.0,3.0,,"Estacionamiento, Balcón, Jacuzzi, Vista, Patio, Terraza, Seguridad, Gimnasio, Piscina, Ascensor, Sauna, Jardín"
2024-09-07,253500.0,Adriana Tipán,3.0,Distrito Metropolitano de Quito,185.0,3.0,,"Seguridad, Ascensor"
2024-09-07,134000.0,Emma Barragán,3.0,Distrito Metropolitano de Quito,136.0,3.0,,"Estacionamiento, Seguridad, Parque"
2024-09-07,280000.0,GS CONSTRUCCIONES Y BIENES RAÍCES,5.0,Distrito Metropolitano de Quito,341.0,3.0,,"Terraza, Bellavista"
2024-09-07,150000.0,GS CONSTRUCCIONES Y BIENES RAÍCES,2.0,Distrito Metropolitano de Quito,98.0,2.0,,"Estacionamiento, Terraza, Gimnasio, Ascensor, Bellavista"
2024-09-07,110000.0,Johanna Chalen - Remax Impacta,4.0,Distrito Metropolitano de Quito,183.0,3.0,,"Estacionamiento, Vista, Terraza, Seguridad, Ascensor"
2024-09-07,96900.0,Emerson Medina - Inmoimpakto,2.0,Distrito Metropolitano de Quito,105.0,2.0,,"Estacionamiento, Jardín, Patio"
2024-09-07,95000.0,Cbr. Ximena Loma - Bienes Raíces LM,3.0,Distrito Metropolitano de Quito,140.0,3.0,,Patio
2024-09-07,95000.0,Cbr. Ximena Loma - Bienes Raíces LM,3.0,Distrito Metropolitano de Quito,140.0,3.0,,"Estacionamiento, Terraza, Seguridad, Ascensor"
2024-09-07,50000.0,Diego Germán Unda - Remax Impacta,1.0,Distrito Metropolitano de Quito,74.0,3.0,,"Estacionamiento, Seguridad, Ascensor"
2024-09-07,150000.0,Carolina Silva,3.0,Distrito Metropolitano de Quito,308.0,3.0,,"Estacionamiento, Patio, Terraza, Seguridad"
2024-09-07,136000.0,Fernando Falconi,2.0,Distrito Metropolitano de Quito,93.0,3.0,,"Estacionamiento, Balcón, Vista, Patio, Terraza, Seguridad, Jardín"
2024-09-07,136000.0,Fernando Falconi,2.0,Distrito Metropolitano de Quito,93.0,3.0,,"Estacionamiento, Vista, Seguridad, Ascensor"
2024-09-07,150000.0,Carolina Silva,2.0,Distrito Metropolitano de Quito,128.0,2.0,,"Estacionamiento, Vista, Seguridad, Ascensor"
2024-09-07,450000.0,Carolina Silva,4.0,Distrito Metropolitano de Quito,200.0,3.0,,"Estacionamiento, Balcón, Vista, Terraza, Seguridad, Gimnasio, Ascensor, Jardín"
2024-09-07,157899.0,Andres Altamirano,2.0,Distrito Metropolitano de Quito,87.0,2.0,,"Estacionamiento, Balcón, Calefacción, Jacuzzi, Vista, Patio, Terraza, Seguridad, Gimnasio, Piscina, Ascensor, Sauna, Jardín, Vista"
2024-09-07,246286.0,Andres Altamirano,3.0,Distrito Metropolitano de Quito,137.0,3.0,,"Estacionamiento, Balcón, Jacuzzi, Terraza, Seguridad, Gimnasio, Ascensor, Sauna, Vista"
2024-09-07,112000.0,Ing. Roberto Alarcón,2.0,Distrito Metropolitano de Quito,105.0,3.0,,"Estacionamiento, Balcón, Jacuzzi, Terraza, Seguridad, Gimnasio, Ascensor"
2024-09-07,380000.0,MIRAI,4.0,Distrito Metropolitano de Quito,350.0,3.0,,"Estacionamiento, Patio, Piscina, Jardín, Espada"
