id|fecha_captura|precio|ubicacion|habitaciones|banos|area|precio_m2|fecha_publicacion|extras|web|descripcion
578519717977015537|2024-09-06|150000|Quito, Quito|1|1.5|68|2206|Updated: hace 4 semanas||Fazwaz|"El departamento está ubicado en la ciudad de Quito a una cuadra y media del Parque la Carolina en el edificio One:
Características del departamento:
- 68,20 m2
- Terraza o balcón..."
-7851732716060583421|2024-09-06|253518|Tumbaco, Quito|2|2|143|1773|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 143 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $253,518 ($1,773/m²).
-3273934872082807355|2024-09-06|376815|Tumbaco, Quito|3|4|243|1551|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 243 m² con 3 habitaciones y 4 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $376,815 ($1,551/m²).
738279599360731774|2024-09-06|291015|Tumbaco, Quito|3|3|178|1635|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 178 m² con 3 habitaciones y 3 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $291,015 ($1,635/m²).
-8500924998300597802|2024-09-06|116452|Quito, Quito|1|1|58|2008|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 58 m² con 1 habitación y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $116,452 ($2,008/m²).
8722528306612445388|2024-09-06|233926|Quito, Quito|3|2|109|2146|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 109 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $233,926 ($2,146/m²).
-1533702753537254782|2024-09-06|257290|Quito, Quito|3|2|106|2427|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 106 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $257,290 ($2,427/m²).
4679359588757636|2024-09-06|117620|Quito, Quito|1|1|58|2028|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 58 m² con 1 habitación y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $117,620 ($2,028/m²).
2015899949401915512|2024-09-06|177163|Quito, Quito|2|2|88|2013|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 88 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $177,163 ($2,013/m²).
-6666324150643390030|2024-09-06|152622|Quito, Quito|2|2|80|1908|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 80 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $152,622 ($1,908/m²).
