captura,precio,agencia,aseos,zona,superficie,habitaciones,gastos,quiet,views,condo,amenities,piscina,terraza,jardín,ascensor,parking
2024-09-10,273381,Fazwaz,2.0,Quito,143.0,3,124.0,1,1,1,1,0,0,0,0,0
2024-09-10,284732,Fazwaz,2.0,Quito,98.0,2,90.0,0,1,1,0,0,0,0,0,0
2024-09-10,191619,Fazwaz,2.0,Quito,96.0,3,82.0,1,1,1,1,0,0,0,0,0
2024-09-10,204880,Fazwaz,2.0,Quito,109.0,3,86.0,1,1,1,1,0,0,0,0,0
2024-09-10,125336,Fazwaz,1.0,Quito,49.0,1,62.0,0,1,1,0,0,0,0,0,0
2024-09-10,167473,Fazwaz,1.0,Quito,63.0,1,65.0,0,1,1,0,0,0,0,0,0
2024-09-10,299000,Fazwaz,2.0,Nayon,208.0,3,73.0,0,0,0,0,0,0,0,0,0
2024-09-10,180000,Fazwaz,2.0,Guangopolo,200.0,4,102.0,0,0,0,0,0,0,0,0,0
2024-09-10,381720,Fazwaz,4.0,Tumbaco,244.0,3,186.0,0,0,1,0,0,0,0,0,0
2024-09-10,190000,Fazwaz,2.0,Nayon,140.0,3,66.0,0,0,0,0,0,0,0,0,0
2024-09-10,243750,Fazwaz,1.0,Cumbaya,115.0,2,85.0,0,0,1,0,0,0,0,0,0
2024-09-10,396390,Fazwaz,4.0,Tumbaco,244.0,3,186.0,0,0,1,0,0,0,0,0,0
2024-09-10,238906,Fazwaz,2.0,Quito,117.0,3,77.0,0,0,1,0,0,0,0,0,0
2024-09-10,284993,Fazwaz,2.0,Quito,90.0,2,48.0,0,1,1,0,0,0,0,0,0
2024-09-10,212319,Fazwaz,2.0,Quito,106.0,3,57.0,1,1,1,1,0,0,0,0,0
2024-09-10,123869,Fazwaz,1.0,Quito,51.0,1,62.0,0,1,1,0,0,0,0,0,0
2024-09-10,141464,Fazwaz,2.0,Quito,76.0,2,29.0,1,1,1,1,0,0,0,0,0
2024-09-10,127727,Fazwaz,1.0,Quito,47.0,1,62.0,0,1,1,0,0,0,0,0,0
2024-09-10,213837,Fazwaz,2.0,Quito,112.0,3,77.0,1,1,1,1,0,0,0,0,0
2024-09-10,127000,Fazwaz,1.0,Guangopolo,92.0,2,56.0,0,0,0,0,0,0,0,0,0
2024-09-10,251910,Fazwaz,2.0,Quito,105.0,3,57.0,1,1,1,1,0,0,0,0,0
2024-09-10,153759,Fazwaz,2.0,Quito,80.0,2,18.0,1,1,1,1,0,0,0,0,0
2024-09-10,359185,Fazwaz,3.0,Cumbaya,193.0,3,198.0,0,0,1,0,0,0,0,0,0
2024-09-10,253518,Fazwaz,2.0,Tumbaco,143.0,2,128.0,0,0,1,0,0,0,0,0,0
2024-09-10,118788,Fazwaz,1.0,Quito,58.0,1,73.0,0,0,1,0,0,0,0,0,0
2024-09-10,154233,Fazwaz,2.0,Quito,80.0,2,18.0,0,0,1,0,0,0,0,0,0
2024-09-10,114116,Fazwaz,1.0,Quito,58.0,1,73.0,0,0,1,0,0,0,0,0,0
2024-09-10,174457,Fazwaz,2.0,Quito,88.0,2,48.0,0,0,1,0,0,0,0,0,0
2024-09-10,140214,Fazwaz,2.0,Quito,76.0,2,29.0,1,1,1,1,0,0,0,0,0
2024-09-10,179119,Fazwaz,2.0,Quito,78.0,2,29.0,1,1,1,1,0,0,0,0,0
2024-09-10,150000,Fazwaz,1.5,Quito,68.0,1,58.0,0,0,0,0,1,1,0,0,0
